course_id,department,course_number,course_numeric,title,min_units,max_units,description,course_level,school,department_name,same_as,restriction,prerequisite_text,prerequisite_tree_json,prerequisites_flat_json,dependencies_flat_json,terms_offered_json,ge_list,ge_text,instructors_shortened_json
COMPSCI_122A,COMPSCI,122A,122,Introduction to Data Management,4,4,"Introduction to the design of databases and the use of database management systems (DBMS) for applications. Topics include entity-relationship modeling for design, relational data model, relational algebra, relational design theory, and Structured Query Language (SQL) programming.",Upper Division (100-199),Donald Bren School of Information and Computer Sciences,Computer Science,EECS 116,Computer Science and Engineering majors and School of Information and Computer Sciences students have the first consideration for enrollment,I&C SCI 33 with a minimum grade of C or EECS 114,"{""AND"": [{""OR"": [{""prereqType"": ""course"", ""coreq"": false, ""courseId"": ""I&C SCI 33"", ""minGrade"": ""C""}, {""prereqType"": ""course"", ""coreq"": false, ""courseId"": ""EECS 114"", ""minGrade"": ""D-""}]}]}","[{""id"": ""I&C_SCI_33"", ""department"": ""I&C SCI"", ""course_number"": ""33"", ""title"": ""Intermediate Programming""}, {""id"": ""EECS_114"", ""department"": ""EECS"", ""course_number"": ""114"", ""title"": ""Engineering Data Structures and Algorithms""}]","[{""id"": ""COMPSCI_122B"", ""department"": ""COMPSCI"", ""course_number"": ""122B"", ""title"": ""Project in Databases and Web Applications""}, {""id"": ""COMPSCI_122C"", ""department"": ""COMPSCI"", ""course_number"": ""122C"", ""title"": ""Principles of Data Management""}, {""id"": ""COMPSCI_122D"", ""department"": ""COMPSCI"", ""course_number"": ""122D"", ""title"": ""Beyond SQL Data Management""}, {""id"": ""COMPSCI_222"", ""department"": ""COMPSCI"", ""course_number"": ""222"", ""title"": ""Principles of Data Management""}, {""id"": ""COMPSCI_224P"", ""department"": ""COMPSCI"", ""course_number"": ""224P"", ""title"": ""Big Data Management""}, {""id"": ""STATS_170A"", ""department"": ""STATS"", ""course_number"": ""170A"", ""title"": ""Project in Data Science I""}]","[""2006 Fall"", ""2007 Winter"", ""2008 Fall"", ""2008 Spring"", ""2008 Winter"", ""2009 Fall"", ""2009 Spring"", ""2009 Winter"", ""2010 Fall"", ""2010 Spring"", ""2011 Fall"", ""2011 Spring"", ""2011 Winter"", ""2012 Fall"", ""2012 Spring"", ""2012 Winter"", ""2013 Fall"", ""2013 Spring"", ""2013 Winter"", ""2014 Fall"", ""2014 Spring"", ""2014 Winter"", ""2015 Fall"", ""2015 Spring"", ""2015 Winter"", ""2016 Fall"", ""2016 Spring"", ""2016 Winter"", ""2017 Fall"", ""2017 Spring"", ""2017 Winter"", ""2018 Fall"", ""2018 Spring"", ""2018 Winter"", ""2019 Fall"", ""2019 Spring"", ""2019 Winter"", ""2020 Fall"", ""2020 Spring"", ""2020 Winter"", ""2021 Fall"", ""2021 Spring"", ""2021 Summer2"", ""2021 Winter"", ""2022 Fall"", ""2022 Spring"", ""2022 Winter"", ""2023 Fall"", ""2023 Spring"", ""2023 Winter"", ""2024 Fall"", ""2024 Spring"", ""2024 Winter"", ""2025 Fall"", ""2025 Summer10wk"", ""2025 Winter"", ""2026 Fall"", ""2026 Spring"", ""2026 Winter""]",,,"[""CAREY, M."", ""CHIENG, C."", ""CHIENG, C.L."", ""LI, C."", ""MEHROTRA, S."", ""NAWAB, F."", ""SHEU, C."", ""WONG-MA, J.""]"
AC_ENG_139W,AC ENG,139W,139,Advanced Academic Writing Across the Curriculum,4,4,"Designed for transfer students who speak English as a second language. Focuses on developing academic reading and writing skills including essay content, organization, vocabulary, and grammar. Academic content also covered.",Upper Division (100-199),School of Humanities,Academic English,,Restricted to students whose first language is not English,Satisfactory completion of the Lower-Division Writing requirement,{},[],"[{""id"": ""GEN&SEX_197"", ""department"": ""GEN&SEX"", ""course_number"": ""197"", ""title"": ""Senior Seminar in Gender and Sexuality Studies""}]","[""2012 Fall"", ""2013 Fall"", ""2013 Spring"", ""2013 Winter"", ""2014 Fall"", ""2014 Spring"", ""2014 Winter"", ""2015 Fall"", ""2015 Spring"", ""2015 Winter"", ""2016 Fall"", ""2016 Spring"", ""2016 Winter"", ""2017 Fall"", ""2017 Spring"", ""2017 Winter"", ""2018 Fall"", ""2018 Spring"", ""2018 Winter"", ""2019 Fall"", ""2019 Spring"", ""2019 Winter"", ""2020 Fall"", ""2020 Spring"", ""2020 Summer1"", ""2020 Winter"", ""2021 Fall"", ""2021 Spring"", ""2021 Summer10wk"", ""2021 Winter"", ""2022 Fall"", ""2022 Spring"", ""2022 Summer10wk"", ""2022 Winter"", ""2023 Fall"", ""2023 Spring"", ""2023 Summer10wk"", ""2023 Winter"", ""2024 Fall"", ""2024 Spring"", ""2024 Summer1"", ""2024 Winter"", ""2025 Fall"", ""2025 Spring"", ""2025 Winter"", ""2026 Fall"", ""2026 Spring"", ""2026 Winter""]",GE Ib: Upper Division Writing,(Ib),[]
AC_ENG_20A,AC ENG,20A,20,Academic Writing,5,5,"Grammar, sentence structure, paragraph and essay organization of formal written English.",Lower Division (1-99),School of Humanities,Academic English,,,Placement into AC ENG 20A,{},[],"[{""id"": ""AC_ENG_20B"", ""department"": ""AC ENG"", ""course_number"": ""20B"", ""title"": ""Academic Writing""}]","[""2012 Fall"", ""2013 Fall"", ""2013 Spring"", ""2013 Winter"", ""2014 Fall"", ""2014 Spring"", ""2014 Winter"", ""2015 Fall"", ""2015 Spring"", ""2015 Winter"", ""2016 Fall"", ""2016 Spring"", ""2016 Winter"", ""2017 Fall"", ""2017 Spring"", ""2017 Summer10wk"", ""2017 Winter"", ""2018 Fall"", ""2018 Spring"", ""2018 Winter"", ""2019 Fall"", ""2019 Spring"", ""2019 Winter"", ""2020 Fall"", ""2020 Spring"", ""2020 Winter"", ""2021 Fall"", ""2021 Spring"", ""2021 Winter"", ""2022 Fall"", ""2022 Spring"", ""2022 Winter"", ""2023 Fall"", ""2023 Spring"", ""2023 Winter"", ""2024 Fall"", ""2024 Spring"", ""2024 Winter"", ""2025 Fall"", ""2025 Spring"", ""2025 Winter"", ""2026 Fall"", ""2026 Spring"", ""2026 Summer1"", ""2026 Winter""]",,,[]
AC_ENG_20B,AC ENG,20B,20,Academic Writing,5,5,"Grammar, sentence structure, paragraph and essay organization of formal written English.",Lower Division (1-99),School of Humanities,Academic English,,,AC ENG 20A. Placement into AC ENG 20B is also accepted,"{""AND"": [{""OR"": [{""prereqType"": ""course"", ""coreq"": false, ""courseId"": ""AC ENG 20A""}]}]}","[{""id"": ""AC_ENG_20A"", ""department"": ""AC ENG"", ""course_number"": ""20A"", ""title"": ""Academic Writing""}]","[{""id"": ""AC_ENG_20C"", ""department"": ""AC ENG"", ""course_number"": ""20C"", ""title"": ""Essentials of Academic Writing""}]","[""2012 Fall"", ""2013 Fall"", ""2013 Spring"", ""2013 Summer10wk"", ""2013 Winter"", ""2014 Fall"", ""2014 Spring"", ""2014 Summer10wk"", ""2014 Winter"", ""2015 Fall"", ""2015 Spring"", ""2015 Summer10wk"", ""2015 Winter"", ""2016 Fall"", ""2016 Spring"", ""2016 Summer10wk"", ""2016 Winter"", ""2017 Fall"", ""2017 Spring"", ""2017 Summer10wk"", ""2017 Winter"", ""2018 Fall"", ""2018 Spring"", ""2018 Winter"", ""2019 Fall"", ""2019 Spring"", ""2019 Winter"", ""2020 Fall"", ""2020 Spring"", ""2020 Winter"", ""2021 Fall"", ""2021 Spring"", ""2021 Winter"", ""2022 Fall"", ""2022 Spring"", ""2022 Winter"", ""2023 Fall"", ""2023 Spring"", ""2023 Winter"", ""2024 Fall"", ""2024 Spring"", ""2024 Winter"", ""2025 Fall"", ""2025 Spring"", ""2025 Summer1"", ""2025 Winter"", ""2026 Fall"", ""2026 Spring"", ""2026 Summer1"", ""2026 Summer2"", ""2026 Winter""]",,,"[""JAMES"", ""KIM, H."", ""SHEPHERD, B."", ""SPENCER, P."", ""VIMUTTINAN, C."", ""WOLFF, B.""]"
AC_ENG_20C,AC ENG,20C,20,Essentials of Academic Writing,5,5,"Grammar, sentence structure, paragraph and essay organization of formal written English.",Lower Division (1-99),School of Humanities,Academic English,,,AC ENG 20B. Placement into AC ENG 20C is also accepted,"{""AND"": [{""OR"": [{""prereqType"": ""course"", ""coreq"": false, ""courseId"": ""AC ENG 20B""}]}]}","[{""id"": ""AC_ENG_20B"", ""department"": ""AC ENG"", ""course_number"": ""20B"", ""title"": ""Academic Writing""}]","[{""id"": ""AC_ENG_20D"", ""department"": ""AC ENG"", ""course_number"": ""20D"", ""title"": ""Academic Writing""}, {""id"": ""WRITING_40"", ""department"": ""WRITING"", ""course_number"": ""40"", ""title"": ""Introduction to Writing and Rhetoric""}, {""id"": ""WRITING_45"", ""department"": ""WRITING"", ""course_number"": ""45"", ""title"": ""Intensive Writing""}]","[""2012 Fall"", ""2013 Fall"", ""2013 Spring"", ""2013 Summer10wk"", ""2013 Winter"", ""2014 Fall"", ""2014 Spring"", ""2014 Summer10wk"", ""2014 Summer2"", ""2014 Winter"", ""2015 Fall"", ""2015 Spring"", ""2015 Summer10wk"", ""2015 Winter"", ""2016 Fall"", ""2016 Spring"", ""2016 Summer10wk"", ""2016 Winter"", ""2017 Fall"", ""2017 Spring"", ""2017 Summer10wk"", ""2017 Winter"", ""2018 Fall"", ""2018 Spring"", ""2018 Summer10wk"", ""2018 Winter"", ""2019 Fall"", ""2019 Spring"", ""2019 Summer10wk"", ""2019 Winter"", ""2020 Fall"", ""2020 Spring"", ""2020 Summer10wk"", ""2020 Winter"", ""2021 Fall"", ""2021 Spring"", ""2021 Summer10wk"", ""2021 Winter"", ""2022 Fall"", ""2022 Spring"", ""2022 Summer10wk"", ""2022 Winter"", ""2023 Fall"", ""2023 Spring"", ""2023 Summer10wk"", ""2023 Winter"", ""2024 Fall"", ""2024 Spring"", ""2024 Summer1"", ""2024 Winter"", ""2025 Fall"", ""2025 Spring"", ""2025 Summer1"", ""2025 Summer2"", ""2025 Winter"", ""2026 Fall"", ""2026 Spring"", ""2026 Summer1"", ""2026 Summer2"", ""2026 Winter""]",,,"[""MIN, H."", ""OH, H."", ""QURESHI, A."", ""VIMUTTINAN, C.""]"
AC_ENG_22A,AC ENG,22A,22,Academic English Reading and Vocabulary,2,2,"Intensive reading exercises with occasional practice in extensive reading, focusing on comprehension, development of vocabulary, syntax, rhetorical features, reading strategies, and study skills.",Lower Division (1-99),School of Humanities,Academic English,,,Placement into AC ENG 22A is required,{},[],"[{""id"": ""WRITING_40"", ""department"": ""WRITING"", ""course_number"": ""40"", ""title"": ""Introduction to Writing and Rhetoric""}, {""id"": ""WRITING_45"", ""department"": ""WRITING"", ""course_number"": ""45"", ""title"": ""Intensive Writing""}]","[""2012 Fall"", ""2013 Fall"", ""2013 Spring"", ""2013 Summer1"", ""2013 Winter"", ""2014 Fall"", ""2014 Spring"", ""2014 Winter"", ""2015 Fall"", ""2015 Spring"", ""2015 Winter"", ""2016 Fall"", ""2016 Spring"", ""2016 Winter"", ""2017 Fall"", ""2017 Spring"", ""2017 Winter"", ""2018 Fall"", ""2018 Spring"", ""2018 Winter"", ""2019 Fall"", ""2019 Spring"", ""2019 Winter"", ""2020 Fall"", ""2020 Spring"", ""2020 Summer1"", ""2020 Summer2"", ""2020 Winter"", ""2021 Fall"", ""2021 Spring"", ""2021 Summer1"", ""2021 Summer2"", ""2021 Winter"", ""2022 Fall"", ""2022 Spring"", ""2022 Winter"", ""2023 Fall"", ""2023 Spring"", ""2023 Winter"", ""2024 Fall"", ""2024 Spring"", ""2024 Winter"", ""2025 Fall"", ""2025 Spring"", ""2025 Winter"", ""2026 Fall"", ""2026 Spring"", ""2026 Summer1"", ""2026 Summer2"", ""2026 Winter""]",,,"[""QURESHI, A.""]"
AFAM_118,AFAM,118,118,Topics in African American Humanities,4,4,"Provides students with an opportunity to pursue advanced work in African American studies from one or more humanities approaches (literature, film and media studies, art history, and others).",Upper Division (100-199),School of Humanities,African American Studies,,,,{},[],[],"[""2007 Fall"", ""2008 Fall"", ""2008 Spring"", ""2008 Winter"", ""2009 Fall"", ""2009 Summer1"", ""2010 Winter"", ""2011 Spring"", ""2012 Spring"", ""2012 Winter"", ""2013 Winter"", ""2014 Winter"", ""2015 Winter"", ""2016 Spring"", ""2016 Winter"", ""2017 Spring"", ""2019 Spring"", ""2019 Winter"", ""2021 Fall"", ""2021 Winter"", ""2022 Fall"", ""2023 Fall"", ""2024 Fall"", ""2025 Fall"", ""2025 Spring"", ""2026 Fall"", ""2026 Spring""]",,,"[""BORUCKI, A."", ""CARTER, J."", ""CHANDLER, N."", ""DAULATZAI, S."", ""MILLER, R."", ""MURILLO, J."", ""RADHAKRISHNAN"", ""RADHAKRISHNAN, R."", ""RADHAKRISHNAN,R.""]"
AFAM_156,AFAM,156,156,African Societies and Politics,4,4,"Examines the violent incorporation of Africa within European modernity. Places the discourse of Pan-Africanism, African Nationalisms, Negritude, African Marxism, and/or African Socialism in juxtaposition to the forces of capitalism, colonialism, and imperialism that restructure African history.",Upper Division (100-199),School of Humanities,African American Studies,,,,{},[],[],"[""2009 Spring"", ""2011 Winter"", ""2012 Spring"", ""2013 Fall"", ""2015 Fall"", ""2017 Winter"", ""2019 Winter"", ""2021 Winter"", ""2024 Winter"", ""2025 Spring""]",,,"[""WILLOUGHBY-HER, T."", ""WILLOUGHBY-HERARD,""]"
AFAM_40C,AFAM,40C,40,African American Studies III,4,4,"Introduction to theories of racial blackness in the modern world, with emphasis on developments in British colonies and U.S. Traces emergence of blackness as term of collective identity, social organization, and political mobilization.",Lower Division (1-99),School of Humanities,African American Studies,,,,{},[],[],"[""1999 Spring"", ""2000 Spring"", ""2001 Spring"", ""2002 Spring"", ""2003 Spring"", ""2004 Spring"", ""2005 Spring"", ""2006 Spring"", ""2007 Spring"", ""2008 Spring"", ""2009 Spring"", ""2009 Summer2"", ""2010 Spring"", ""2011 Spring"", ""2012 Spring"", ""2013 Spring"", ""2014 Spring"", ""2014 Summer1"", ""2015 Spring"", ""2015 Summer2"", ""2016 Spring"", ""2017 Spring"", ""2018 Spring"", ""2019 Spring"", ""2020 Spring"", ""2021 Spring"", ""2021 Summer2"", ""2022 Spring"", ""2023 Spring"", ""2024 Spring"", ""2025 Spring"", ""2026 Spring""]",GE III: Social & Behavioral Sciences|GE IV: Arts and Humanities|GE VII: Multicultural Studies,((III or IV) and VII.),"[""DAULATZAI, S."", ""HARVEY, S."", ""SEXTON, J."", ""WILLOUGHBY-HER, T."", ""WILLOUGHBY-HERARD,""]"
ANATOMY_227C,ANATOMY,227C,227,Current Topics in Neuroscience,1,4,"Focuses on critical reading, presentation, and discussion of current literature in neuroscience research.",Graduate/Professional Only (200+),School of Medicine,Anatomy and Neurobiology,,,,{},[],[],"[""2006 Spring"", ""2007 Spring"", ""2008 Spring"", ""2009 Spring"", ""2010 Spring"", ""2011 Spring"", ""2012 Spring"", ""2013 Spring"", ""2014 Spring"", ""2015 Spring"", ""2016 Spring"", ""2017 Spring"", ""2018 Spring"", ""2019 Spring"", ""2020 Spring"", ""2021 Spring"", ""2022 Spring"", ""2023 Spring"", ""2024 Spring"", ""2025 Spring"", ""2026 Spring""]",,,"[""CUMMINGS, B."", ""DIAZ ALONSO, J."", ""DIAZ, J."", ""LYON, D."", ""WEISS, J.""]"
