section_id,ge_code
2025_Spring_81025,GE-2
2025_Spring_12020,GE-3
2025_Spring_67450,GE-1B
2025_Spring_67100,GE-3
2025_Spring_67100,GE-7
2025_Spring_69460,GE-1B
2025_Spring_70220,GE-3
2025_Spring_70220,GE-7
2025_Spring_27606,GE-1A
2025_Spring_33171,GE-1A
2025_Spring_33172,GE-1A
2025_Spring_33211,GE-1A
2025_Spring_33212,GE-1A
2025_Spring_28116,GE-1A
2025_Spring_44220,GE-5B
2025_Spring_50070,GE-1B
2025_Spring_31310,GE-6
2025_Spring_24817,GE-6
2025_Spring_60000,GE-3
2025_Spring_60000,GE-8
2025_Spring_31274,GE-4
2025_Spring_31274,GE-8
2025_Spring_31325,GE-8
2025_Spring_60150,GE-3
2025_Spring_60150,GE-8
2025_Spring_31352,GE-7
2025_Spring_05815,GE-1B
2025_Spring_33397,GE-1A
2025_Spring_33400,GE-1A
2025_Spring_24215,GE-1B
2025_Spring_33346,GE-1A
2025_Spring_44107,GE-5B
2025_Spring_44115,GE-5B
2025_Spring_44200,GE-5B
2025_Spring_44620,GE-2
2025_Spring_44620,GE-5B
2025_Spring_13301,GE-1B
2025_Spring_22711,GE-4
2025_Spring_22711,GE-8
2025_Spring_24100,GE-4
2025_Spring_47000,GE-2
2025_Spring_47000,GE-5A
2025_Spring_47030,GE-2
2025_Spring_47030,GE-5A
2025_Spring_60260,GE-8
2025_Spring_60400,GE-1B
2025_Spring_61045,GE-3
2025_Spring_61045,GE-7
2025_Spring_23370,GE-4
2025_Spring_62370,GE-1B
2025_Spring_64040,GE-3
2025_Spring_64040,GE-8
2025_Spring_64070,GE-3
2025_Spring_64070,GE-8
2025_Spring_64310,GE-1B
2025_Spring_35890,GE-1B
2025_Spring_61166,GE-3
2025_Spring_61166,GE-7
2025_Spring_61310,GE-7
2025_Spring_47560,GE-1B
2025_Spring_61040,GE-3
2025_Spring_61040,GE-7
2025_Spring_70300,GE-7
2025_Spring_87650,GE-3
2025_Spring_42000,GE-2
2025_Spring_42000,GE-5A
2025_Spring_03042,GE-4
2025_Spring_03042,GE-8
2025_Spring_03144,GE-1B
2025_Spring_70150,GE-5B
2025_Spring_70100,GE-5A
2025_Spring_22060,GE-8
2025_Spring_29331,GE-8
2025_Spring_49210,GE-1B
2025_Spring_33386,GE-1A
2025_Spring_33418,GE-1A
2025_Spring_67020,GE-3
2025_Spring_81010,GE-2
2025_Spring_05547,GE-1B
2025_Spring_05851,GE-1B
2025_Spring_28111,GE-1A
2025_Spring_33303,GE-1A
2025_Spring_33304,GE-1A
2025_Spring_33394,GE-1A
2025_Spring_33421,GE-1A
2025_Spring_33422,GE-1A
2025_Spring_33425,GE-1A
2025_Spring_47155,GE-2
2025_Spring_47155,GE-5A
2025_Spring_70000,GE-3
2025_Spring_53200,GE-7
2025_Spring_69020,GE-3
2025_Spring_69020,GE-7
2025_Spring_69040,GE-3
2025_Spring_69040,GE-7
2025_Spring_69060,GE-3
2025_Spring_69060,GE-8
2025_Spring_70065,GE-3
2025_Spring_70065,GE-8
2025_Spring_71501,GE-1B
2025_Spring_26550,GE-4
2025_Spring_26550,GE-8
2025_Spring_64060,GE-3
2025_Spring_64060,GE-8
2025_Spring_69000,GE-3
2025_Spring_69000,GE-7
2025_Spring_37130,GE-5A
2025_Spring_47140,GE-2
2025_Spring_47140,GE-5A
2025_Spring_15405,GE-3
2025_Spring_25610,GE-6
2025_Spring_28922,GE-8
2025_Spring_05780,GE-1B
2025_Spring_33260,GE-1A
2025_Spring_33262,GE-1A
2025_Spring_33231,GE-1A
2025_Spring_33245,GE-1A
2025_Spring_33306,GE-1A
2025_Spring_33369,GE-1A
2025_Spring_33370,GE-1A
2025_Spring_64615,GE-1B
2025_Spring_61000,GE-3
2025_Spring_61000,GE-7
2025_Spring_65010,GE-3
2025_Spring_65010,GE-5B
2025_Spring_70180,GE-3
2025_Spring_70180,GE-8
2025_Spring_33034,GE-1A
2025_Spring_05775,GE-1B
2025_Spring_12000,GE-3
2025_Spring_28901,GE-6
2025_Spring_31271,GE-8
2025_Spring_29820,GE-4
2025_Spring_66110,GE-5B
2025_Spring_66170,GE-3
2025_Spring_44000,GE-5B
2025_Spring_62050,GE-5A
2025_Spring_62030,GE-5A
2025_Spring_44100,GE-5B
2025_Spring_53000,GE-3
2025_Spring_66160,GE-2
2025_Spring_66160,GE-3
2025_Spring_70360,GE-1B
2025_Spring_23002,GE-4
2025_Spring_23002,GE-8
2025_Spring_03044,GE-4
2025_Spring_03044,GE-8
2025_Spring_62100,GE-3
2025_Spring_12231,GE-1B
2025_Spring_61020,GE-3
2025_Spring_61020,GE-7
2025_Spring_35600,GE-3
2025_Spring_28904,GE-6
2025_Spring_65000,GE-7
2025_Spring_66130,GE-2
2025_Spring_66130,GE-5A
2025_Spring_67060,GE-3
2025_Spring_67060,GE-8
2025_Spring_53170,GE-3
2025_Spring_62000,GE-2
2025_Spring_62000,GE-3
2025_Spring_64090,GE-3
2025_Spring_64090,GE-8
2025_Spring_61160,GE-7
2025_Spring_70020,GE-3
2025_Spring_70170,GE-3
2025_Spring_70170,GE-8
2025_Spring_87690,GE-3
2025_Spring_33460,GE-1B
2025_Spring_05546,GE-1B
2025_Spring_70363,GE-1B
2025_Spring_68110,GE-5B
2025_Spring_67010,GE-3
2025_Spring_67094,GE-3
2025_Spring_67094,GE-7
2025_Spring_50185,GE-1B
2025_Spring_64080,GE-3
2025_Spring_64080,GE-8
2025_Spring_62460,GE-1B
2025_Spring_67072,GE-3
2025_Spring_67072,GE-8
2025_Spring_26620,GE-4
2025_Spring_69565,GE-1B
2025_Spring_33437,GE-1A
2025_Spring_27800,GE-4
2025_Spring_27800,GE-7
2025_Spring_27800,GE-8
2025_Spring_27707,GE-1A
2025_Spring_27803,GE-1A
2025_Spring_28125,GE-1A
2025_Spring_05750,GE-1B
2025_Spring_30300,GE-4
2025_Spring_05542,GE-1B
2025_Spring_13270,GE-1B
2025_Spring_30320,GE-4
2025_Spring_30320,GE-5B
2025_Spring_30550,GE-2
2025_Spring_30550,GE-5A
2025_Spring_31330,GE-8
2025_Spring_33223,GE-1A
2025_Spring_28102,GE-1A
2025_Spring_22022,GE-6
2025_Spring_33433,GE-1A
2025_Spring_26580,GE-4
2025_Spring_64000,GE-3
2025_Spring_64000,GE-8
2025_Spring_29316,GE-6
2025_Spring_28126,GE-1A
2025_Spring_01014,GE-4
2025_Spring_05788,GE-1B
2025_Spring_05152,GE-2
2025_Spring_12005,GE-5A
2025_Spring_33376,GE-1A
2025_Spring_27603,GE-1A
