section_id,instructor_name_raw
2025_Spring_81025,"EDWARDS, R."
2025_Spring_68050,"GUNEY, S."
2025_Spring_68180,"DOSHER, B."
2025_Spring_70380,"CHO, J."
2025_Spring_81020,"ROBY, D."
2025_Spring_81110,"MILAM, J."
2025_Spring_88001,"HOLMAN, E."
2025_Spring_02040,"DE SOUZA SANTO, V."
2025_Spring_34070,"HEROLD, J."
2025_Spring_34070,"ZHOU, Y."
2025_Spring_34070,"BAI, J."
2025_Spring_86630,"WANG, S."
2025_Spring_86630,"TALESH, R."
2025_Spring_86660,"WANG, S."
2025_Spring_86660,"TALESH, R."
2025_Spring_67185,"LEVIN FIORELLI, I."
2025_Spring_12020,"RODRIGUEZ, F."
2025_Spring_67195,"BECKMANN, M."
2025_Spring_67403,"SCHUSTER, T."
2025_Spring_36080,"MOSHIRPOUR, M."
2025_Spring_17086,STAFF
2025_Spring_17086,"FU, S."
2025_Spring_17086,"HEYDARI, P."
2025_Spring_17087,"OVEISI, M."
2025_Spring_17087,"HEYDARI, P."
2025_Spring_67450,"SMITH, C."
2025_Spring_54000,"HAGEDORN, J."
2025_Spring_67100,"TESLER, M."
2025_Spring_69400,"KIM, J."
2025_Spring_69400,"LONG, M."
2025_Spring_69460,"ARUM, R."
2025_Spring_69460,"OROZCO, M."
2025_Spring_69460,"BAYSTON, L."
2025_Spring_34120,"ABDU JYOTHI, S."
2025_Spring_34120,"RAMANATHAN, A."
2025_Spring_34120,"TAKBIR, N."
2025_Spring_47501,"SANCHEZ, J."
2025_Spring_47501,"CHENG, C."
2025_Spring_89402,"KRAUSE, D."
2025_Spring_89402,"HOSHI, N."
2025_Spring_54210,"HECKHAUSEN, J."
2025_Spring_70050,"MORGAN, P."
2025_Spring_70220,"KIM, C."
2025_Spring_68120,"LESHINSKAYA, A."
2025_Spring_15410,"COPP, D."
2025_Spring_15410,"RAJKUMAR, V."
2025_Spring_15435,"HYLAND, M."
2025_Spring_15435,"ROUZEGARI, N."
2025_Spring_15435,"GILBERT, E."
2025_Spring_27606,"FROUZESH, S."
2025_Spring_19030,"BROUWER, J."
2025_Spring_19030,"FINLAYSON-PITT, B."
2025_Spring_15566,"HYLAND, M."
2025_Spring_15575,"JIN, W."
2025_Spring_31515,"PICHON-RIVIERE, R."
2025_Spring_33016,"WHITE, M."
2025_Spring_33016,"SCHULTZ, R."
2025_Spring_33171,"LEWIN, K."
2025_Spring_33172,"LEWIN, K."
2025_Spring_33211,"KIKLOWICZ, D."
2025_Spring_33212,"KIKLOWICZ, D."
2025_Spring_34170,"BIC, L."
2025_Spring_34170,"ZHANG, P."
2025_Spring_34170,"PYANKOV, S."
2025_Spring_34190,"RAHMANI, A."
2025_Spring_38104,"HITE, J."
2025_Spring_40352,"EDWARDS, KD."
2025_Spring_40352,"MCTAGUE, J."
2025_Spring_28116,"WALSH, K."
2025_Spring_44220,"KALANTZOPOULOS, P."
2025_Spring_45520,"TSENG, L."
2025_Spring_50070,"COLE, S."
2025_Spring_52230,"GELLER, A."
2025_Spring_52240,"JENNESS, V."
2025_Spring_53430,"PETROS, A."
